time_s,reference_position_rad,load_torque_nm,true_position_rad,true_speed_rad_s,true_current_a,estimated_position_rad,estimated_speed_rad_s,estimated_current_a,position_estimation_error_rad,speed_estimation_error_rad_s,current_estimation_error_a,normalized_estimation_error_max,requested_voltage_v,applied_voltage_v,saturated
0.0,0.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.544338217446472,5.544338217446472,0
0.001,0.01,0.0,1.84257983819671e-09,5.522218031745213e-06,0.011077595110381094,1.84257983819671e-09,5.522218031745213e-06,0.011077595110381094,0.0,0.0,0.0,0.0,5.434158247068886,5.434158247068886,0
0.002,0.01,0.0,1.4659941177907248e-08,2.1891106499727285e-05,0.021912917224008885,1.4659941177907248e-08,2.1891106499727285e-05,0.021912917224008885,0.0,0.0,0.0,0.0,5.3257739020265,5.3257739020265,0
0.003,0.01,0.0,4.912464494247496e-08,4.875970323113938e-05,0.032510037851229696,4.912464494247496e-08,4.875970323113938e-05,0.032510037851229696,0.0,0.0,0.0,0.0,5.219158115227179,5.219158115227179,0
0.004,0.01,0.0,1.1556603756396577e-07,8.57885185940223e-05,0.04287296629427801,1.1556603756396577e-07,8.57885185940223e-05,0.04287296629427801,0.0,0.0,0.0,0.0,5.114284212649434,5.114284212649434,0
0.005,0.01,0.0,2.239776554361893e-07,0.00013264539969952353,0.05300565055677608,2.239776554361893e-07,0.00013264539969952353,0.05300565055677608,0.0,0.0,0.0,0.0,5.011125907744026,5.011125907744026,0
0.006,0.01,0.0,3.8402449469778555e-07,0.00018900539685385318,0.06291197824023345,3.8402449469778555e-07,0.00018900539685385318,0.06291197824023345,0.0,0.0,0.0,0.0,4.90965729591448,4.90965729591448,0
0.007,0.01,0.0,6.050501485774148e-07,0.0002545506322247079,0.07259577742773003,6.050501485774148e-07,0.0002545506322247079,0.07259577742773003,0.0,0.0,0.0,0.0,4.809852849075372,4.809852849075372,0
0.008,0.01,0.0,8.960838144981268e-07,0.00032897017068746627,0.08206081755496353,8.960838144981268e-07,0.00032897017068746627,0.08206081755496353,0.0,0.0,0.0,0.0,4.711687410287342,4.711687410287342,0
0.009000000000000001,0.01,0.0,1.2658471731035506e-06,0.0004119598928169828,0.0913108102688399,1.2658471731035506e-06,0.0004119598928169828,0.0913108102688399,0.0,0.0,0.0,0.0,4.615136188467718,4.615136188467718,0
0.01,0.01,0.0,1.722761141334633e-06,0.0005032223699913244,0.10034941027378266,1.722761141334633e-06,0.0005032223699913244,0.10034941027378266,0.0,0.0,0.0,0.0,4.520174753175712,4.520174753175712,0
