time_s,armature_voltage_v,opposing_load_torque_nm,shaft_position_rad,shaft_speed_rad_s,armature_current_a
0.0,1.0,0.0,0.0,0.0,0.0
0.001,1.0,0.0,3.32335396206283e-10,9.960103109093068e-07,0.0019980013260235494
0.002,1.0,0.0,2.6507325681847378e-09,3.9681646435364575e-06,0.003992010603046912
0.003,1.0,0.0,8.919499603569434e-09,8.892831837724552e-06,0.0059820357679424875
0.004,1.0,0.0,2.1079435145450032e-08,1.574662375693829e-05,0.007968084742194511
0.005,1.0,0.0,4.1048070197251375e-08,2.4506392854839977e-05,0.00995016543192497
0.006,1.0,0.0,7.071990750632867e-08,3.514922976610426e-05,0.011928285727919515
0.007,1.0,0.0,1.1196665855039616e-07,4.765246092123049e-05,0.01390245350565336
0.008,1.0,0.0,1.6663747815066736e-07,6.19936461851138e-05,0.015872676625317196
0.009000000000000001,1.0,0.0,2.3655919673534728e-07,7.815057651913864e-05,0.017838962931843082
0.01,1.0,0.0,3.235365502768815e-07,9.610127166656057e-05,0.019801320254930338
0.011,1.0,0.0,4.293524079261348e-07,0.00011582397786094472,0.021759756409071435
0.012,1.0,0.0,5.55767997366441e-07,0.00013729716555743135,0.023714279193577867
0.013000000000000001,1.0,0.0,7.045231279102361e-07,0.00016049952718660148,0.025664896392606038
0.014,1.0,0.0,8.773364113607653e-07,0.00018540997493071769,0.027611615775183125
0.015,1.0,0.0,1.0759054806611235e-06,0.00021200763852211735,0.02955444509523293
0.016,1.0,0.0,1.3019072063526752e-06,0.00024027186306353808,0.03149339209160174
0.017,1.0,0.0,1.5569979108646721e-06,0.0002701822068701569,0.033428464488084175
0.018000000000000002,1.0,0.0,1.8428135806566808e-06,0.0003017184393331272,0.035359669993449
0.019,1.0,0.0,2.160970076235203e-06,0.0003348605388043997,0.03728701630146497
0.02,1.0,0.0,2.5130633400656723e-06,0.0003695886905026153,0.03921051109092665
0.021,1.0,0.0,2.900669602400794e-06,0.0004058832844398603,0.04113016202568021
0.022,1.0,0.0,3.32534558504598e-06,0.0004437249133690767,0.043045976754649225
0.023,1.0,0.0,3.788628703082441e-06,0.0004830943707519216,0.044957962911860445
0.024,1.0,0.0,4.292037264568274e-06,0.0005239726487468722,0.0468661281164696
0.025,1.0,0.0,4.837070668237696e-06,0.0005663409362173757,0.04877047997278713
