signal_id,group,unit,observed_min,observed_max,observed_peak_abs,peak_source_case,budget_abs_bound,budget_basis,guard_factor,minimum_signed_integer_bits_including_sign,fractional_bits_status
applied_voltage_v,control_output,V,-3.059822431228919,6.0,6.0,model010_saturation_probe,6.0,configured_hard_bound,1.0,4,TBD_PENDING_QUANTIZATION_ERROR_STUDY
commanded_voltage_v,control_output,V,-3.059822431228919,6.0,6.0,model010_saturation_probe,6.0,configured_hard_bound,1.0,4,TBD_PENDING_QUANTIZATION_ERROR_STUDY
controller_l1_sum_of_products_v,accumulator_bound,V,5.544338217446472,69.18806422998514,69.18806422998514,model010_saturation_probe,138.3761284599703,observed_peak_times_synthetic_guard,2.0,9,TBD_PENDING_QUANTIZATION_ERROR_STUDY
estimated_current,observer_state,A,-0.24868139932542893,1.0875868932005852,1.0875868932005852,model010_saturation_probe,2.1751737864011704,observed_peak_times_synthetic_guard,2.0,3,TBD_PENDING_QUANTIZATION_ERROR_STUDY
estimated_position,observer_state,rad,-1.8565398345623534e-06,0.02885151582818742,0.02885151582818742,model010_observer_initialization,0.05770303165637484,observed_peak_times_synthetic_guard,2.0,1,TBD_PENDING_QUANTIZATION_ERROR_STUDY
estimated_speed,observer_state,rad/s,-0.024938313831135588,0.10191568246362671,0.10191568246362671,model010_observer_initialization,0.20383136492725343,observed_peak_times_synthetic_guard,2.0,1,TBD_PENDING_QUANTIZATION_ERROR_STUDY
feedback_accumulator_v,controller_intermediate,V,0.0,13.744682055520427,13.744682055520427,model010_saturation_probe,27.489364111040853,observed_peak_times_synthetic_guard,2.0,6,TBD_PENDING_QUANTIZATION_ERROR_STUDY
feedback_current_product_v,controller_intermediate,V,-2.4665398634415476,10.689665064414184,10.689665064414184,model010_saturation_probe,21.379330128828368,observed_peak_times_synthetic_guard,2.0,6,TBD_PENDING_QUANTIZATION_ERROR_STUDY
feedback_position_product_v,controller_intermediate,V,-0.0010293284756975806,6.95294038655338,6.95294038655338,model020_encoder-2048-count,13.90588077310676,observed_peak_times_synthetic_guard,2.0,5,TBD_PENDING_QUANTIZATION_ERROR_STUDY
feedback_speed_product_v,controller_intermediate,V,-1.382416322103113,2.2427539241901604,2.2427539241901604,model010_saturation_probe,4.485507848380321,observed_peak_times_synthetic_guard,2.0,4,TBD_PENDING_QUANTIZATION_ERROR_STUDY
innovation_rad,sensor,rad,-0.0032569316603253216,0.01,0.01,model010_observer_initialization,0.02,observed_peak_times_synthetic_guard,2.0,1,TBD_PENDING_QUANTIZATION_ERROR_STUDY
load_torque_nm,disturbance,N m,0.0,0.001,0.001,model010_load_pulse,0.002,observed_peak_times_synthetic_guard,2.0,1,TBD_PENDING_QUANTIZATION_ERROR_STUDY
measured_position_rad,sensor,rad,-3.413884849251074e-05,0.02884925302880152,0.02884925302880152,model010_observer_initialization,0.05769850605760304,observed_peak_times_synthetic_guard,2.0,1,TBD_PENDING_QUANTIZATION_ERROR_STUDY
observer_correction_current,observer_intermediate,A,-0.013231929435684572,0.0406269790578378,0.0406269790578378,model010_observer_initialization,0.0812539581156756,observed_peak_times_synthetic_guard,2.0,1,TBD_PENDING_QUANTIZATION_ERROR_STUDY
observer_correction_position,observer_intermediate,rad,-0.00013854533111552422,0.00042538605523483877,0.00042538605523483877,model010_observer_initialization,0.0008507721104696775,observed_peak_times_synthetic_guard,2.0,1,TBD_PENDING_QUANTIZATION_ERROR_STUDY
observer_correction_speed,observer_intermediate,rad/s,-0.0014648984196009858,0.004497786789467554,0.004497786789467554,model010_observer_initialization,0.008995573578935108,observed_peak_times_synthetic_guard,2.0,1,TBD_PENDING_QUANTIZATION_ERROR_STUDY
observer_current_l1_sum_of_products,accumulator_bound,A,2.0423656716750613e-07,1.0875885018642018,1.0875885018642018,model010_saturation_probe,2.1751770037284035,observed_peak_times_synthetic_guard,2.0,3,TBD_PENDING_QUANTIZATION_ERROR_STUDY
observer_position_l1_sum_of_products,accumulator_bound,rad,1.4955092829282734e-09,0.028851515856874375,0.028851515856874375,model010_observer_initialization,0.05770303171374875,observed_peak_times_synthetic_guard,2.0,1,TBD_PENDING_QUANTIZATION_ERROR_STUDY
