scenario_id,sample_index,state_before,state,arm_request,run_request,shutdown_request,reset_request,estop_active,watchdog_heartbeat,watchdog_missed_samples,supply_voltage_v,supply_healthy,encoder_position_rad,encoder_sequence,encoder_healthy,encoder_valid,encoder_liveness_established,encoder_stale_age_samples,requested_motor_voltage_v,motor_command_v,command_saturated,relay_enable_command,relay_enable_feedback,relay_feedback_mismatch_samples,active_raw_fault_sources,invalid_input_fields,detected_faults,latched_faults,reset_accepted,reset_rejected,motor_position_rad,motor_speed_rad_s,motor_current_a,safe_output
normal_startup_and_operation,0,SAFE_STARTUP,SAFE_STARTUP,False,False,False,False,False,True,0,6.0,True,0.0,1,True,True,False,0,0.0,0.0,False,False,False,0,,,,,False,False,0.0,0.0,0.0,True
normal_startup_and_operation,1,SAFE_STARTUP,SAFE_STARTUP,False,False,False,False,False,True,0,6.0,True,0.0,2,True,True,True,0,0.0,0.0,False,False,False,0,,,,,False,False,0.0,0.0,0.0,True
normal_startup_and_operation,2,SAFE_STARTUP,READY,False,False,False,False,False,True,0,6.0,True,0.0,3,True,True,True,0,0.0,0.0,False,False,False,0,,,,,False,False,0.0,0.0,0.0,True
normal_startup_and_operation,3,READY,READY,False,False,False,False,False,True,0,6.0,True,0.0,4,True,True,True,0,0.0,0.0,False,False,False,0,,,,,False,False,0.0,0.0,0.0,True
normal_startup_and_operation,4,READY,RUNNING,True,True,False,False,False,True,0,6.0,True,0.0,5,True,True,True,0,2.0,2.0,False,True,True,0,,,,,False,False,6.64670792413e-10,1.99202062182e-06,0.00399600265205,False
normal_startup_and_operation,5,RUNNING,RUNNING,True,True,False,False,False,True,0,6.0,True,0.0,6,True,True,True,0,2.0,2.0,False,True,True,0,,,,,False,False,5.30146513637e-09,7.93632928707e-06,0.00798402120609,False
normal_startup_and_operation,6,RUNNING,RUNNING,True,True,False,False,False,True,0,6.0,True,0.0,7,True,True,True,0,2.0,2.0,False,True,True,0,,,,,False,False,1.78389992071e-08,1.77856636754e-05,0.0119640715359,False
normal_startup_and_operation,7,RUNNING,RUNNING,True,True,False,False,False,True,0,6.0,True,0.0,8,True,True,True,0,2.0,2.0,False,True,True,0,,,,,False,False,4.21588702909e-08,3.14932475139e-05,0.0159361694844,False
normal_startup_and_operation,8,RUNNING,SAFE_SHUTDOWN,False,False,True,False,False,True,0,6.0,True,0.0,9,True,True,True,0,0.0,0.0,False,False,False,0,,,,,False,False,8.14314696021e-08,4.70207650879e-05,0.0159043282118,True
normal_startup_and_operation,9,SAFE_SHUTDOWN,SAFE_SHUTDOWN,False,False,False,False,False,True,0,6.0,True,0.0,10,True,True,True,0,0.0,0.0,False,False,False,0,,,,,False,False,1.36138349876e-07,6.23621302451e-05,0.0158725502497,True
normal_startup_and_operation,10,SAFE_SHUTDOWN,READY,False,False,False,False,False,True,0,6.0,True,0.0,11,True,True,True,0,0.0,0.0,False,False,False,0,,,,,False,False,2.06094317894e-07,7.7519258167e-05,0.0158408354754,True
estop_activation,0,SAFE_STARTUP,SAFE_STARTUP,False,False,False,False,False,True,0,6.0,True,0.0,1,True,True,False,0,0.0,0.0,False,False,False,0,,,,,False,False,0.0,0.0,0.0,True
estop_activation,1,SAFE_STARTUP,SAFE_STARTUP,False,False,False,False,False,True,0,6.0,True,0.0,2,True,True,True,0,0.0,0.0,False,False,False,0,,,,,False,False,0.0,0.0,0.0,True
